Date,Time,Impact,Event Name,Previous,Forecast,Actual
2015-10-21,1:30pm,2,FOMC Member Powell Speaks,,,
2015-10-22,8:30am,3,Unemployment Claims,256K,266K,259K
2015-10-22,9:00am,1,HPI m/m,0.50%,0.40%,0.30%
2015-10-22,10:00am,2,Existing Home Sales,5.30M,5.38M,5.55M
2015-10-22,10:00am,1,CB Leading Index m/m,0.00%,0.00%,-0.20%
2015-10-22,10:30am,1,Natural Gas Storage,100B,89B,81B
2015-10-23,9:45am,1,Flash Manufacturing PMI,53.1,52.8,54
2015-10-26,10:00am,2,New Home Sales,529K,546K,468K
2015-10-27,8:30am,3,Core Durable Goods Orders m/m,-0.20%,0.00%,-0.40%
2015-10-27,8:30am,2,Durable Goods Orders m/m,-2.30%,-1.10%,-1.20%
2015-10-27,9:00am,1,S&P/CS Composite-20 HPI y/y,4.90%,5.10%,5.10%
2015-10-27,9:45am,1,Flash Services PMI,55.1,55.3,54.4
2015-10-27,9:59am,1,Richmond Manufacturing Index,-5,-3,-1
2015-10-27,10:00am,3,CB Consumer Confidence,102.6,102.5,97.6
2015-10-28,8:30am,2,Goods Trade Balance,-67.2B,-64.9B,-58.6B
2015-10-28,10:30am,2,Crude Oil Inventories,8.0M,3.7M,3.4M
2015-10-28,2:00pm,3,Federal Funds Rate,<0.25%,<0.25%,<0.25%
2015-10-28,2:00pm,3,FOMC Statement,,,
2015-10-29,8:30am,3,Advance GDP q/q,3.90%,1.60%,1.50%
2015-10-29,8:30am,3,Unemployment Claims,259K,264K,260K
2015-10-29,8:30am,2,Advance GDP Price Index q/q,2.10%,1.50%,1.20%
2015-10-29,9:10am,2,FOMC Member Lockhart Speaks,,,
2015-10-29,10:00am,2,Pending Home Sales m/m,-1.40%,1.10%,-2.30%
2015-10-29,10:30am,1,Natural Gas Storage,81B,70B,63B
2015-10-30,8:30am,3,Employment Cost Index q/q,0.20%,0.60%,0.60%
2015-10-30,8:30am,2,Core PCE Price Index m/m,0.10%,0.20%,0.10%
2015-10-30,8:30am,2,Personal Spending m/m,0.40%,0.20%,0.10%
2015-10-30,8:30am,1,Personal Income m/m,0.40%,0.20%,0.10%
2015-10-30,9:45am,2,Chicago PMI,48.7,49.5,56.2
2015-10-30,10:00am,2,FOMC Member Williams Speaks,,,
2015-10-30,10:00am,2,Revised UoM Consumer Sentiment,92.1,92.6,90
2015-10-30,10:00am,1,Revised UoM Inflation Expectations,2.70%,,2.70%
2015-11-01,2:00am,-1,Daylight Saving Time Shift,,,
2015-11-02,9:45am,1,Final Manufacturing PMI,54,54,54.1
2015-11-02,10:00am,3,ISM Manufacturing PMI,50.2,50,50.1
2015-11-02,10:00am,1,Construction Spending m/m,0.70%,0.50%,0.60%
2015-11-02,10:00am,1,ISM Manufacturing Prices,38,39.5,39
2015-11-02,12:00pm,2,FOMC Member Williams Speaks,,,
2015-11-02,2:00pm,1,Loan Officer Survey,,,
2015-11-03,10:00am,2,Factory Orders m/m,-2.10%,-0.80%,-1.00%
2015-11-03,10:00am,1,RCM/TIPP Economic Optimism,47.3,47.5,45.5
2015-11-03,12:00am,1,Total Vehicle Sales,18.2M,17.8M,18.2M
2015-11-04,5:30am,2,FOMC Member Brainard Speaks,,,
2015-11-04,8:15am,3,ADP Non-Farm Employment Change,190K,183K,182K
2015-11-04,8:30am,3,Trade Balance,-48.0B,-42.7B,-40.8B
2015-11-04,9:45am,1,Final Services PMI,54.4,54.6,54.8
2015-11-04,10:00am,3,Fed Chair Yellen Testifies,,,
2015-11-04,10:00am,3,ISM Services PMI,56.9,56.6,59.1
2015-11-04,10:30am,2,Crude Oil Inventories,3.4M,2.5M,2.8M
2015-11-04,2:30pm,2,FOMC Member Dudley Speaks,,,
2015-11-04,7:30pm,2,FOMC Member Fischer Speaks,,,
2015-11-05,7:30am,1,Challenger Job Cuts y/y,93.20%,,-1.30%
2015-11-05,8:30am,3,Unemployment Claims,260K,263K,276K
2015-11-05,8:30am,2,FOMC Member Dudley Speaks,,,
2015-11-05,8:30am,2,Prelim Nonfarm Productivity q/q,3.30%,0.10%,1.60%
2015-11-05,8:30am,2,Prelim Unit Labor Costs q/q,-1.40%,2.20%,1.40%
2015-11-05,9:10am,2,FOMC Member Fischer Speaks,,,
2015-11-05,10:30am,1,Natural Gas Storage,63B,60B,52B
2015-11-05,1:25pm,1,FOMC Member Tarullo Speaks,,,
2015-11-05,1:30pm,2,FOMC Member Lockhart Speaks,,,
2015-11-05,5:00pm,2,FOMC Member Dudley Speaks,,,
2015-11-05,6:45pm,1,FOMC Member Evans Speaks,,,
2015-11-06,8:30am,3,Average Hourly Earnings m/m,0.00%,0.20%,0.40%
2015-11-06,8:30am,3,Non-Farm Employment Change,137K,181K,271K
2015-11-06,8:30am,3,Unemployment Rate,5.10%,5.00%,5.00%
2015-11-06,3:00pm,1,Consumer Credit m/m,16.0B,17.6B,28.9B
2015-11-06,4:15pm,2,FOMC Member Brainard Speaks,,,
2015-11-07,11:10am,2,FOMC Member Williams Speaks,,,
2015-11-09,10:00am,1,Labor Market Conditions Index m/m,1.3,,1.6
2015-11-10,5:58am,1,NFIB Small Business Index,96.1,96.4,96.1
2015-11-10,8:30am,2,Import Prices m/m,-0.60%,-0.10%,-0.50%
2015-11-10,10:00am,1,Final Wholesale Inventories m/m,0.30%,0.00%,0.50%
2015-11-10,1:01pm,1,10-y Bond Auction,2.07|2.6,,2.30|2.6
2015-11-10,5:15pm,2,FOMC Member Evans Speaks,,,
2015-11-11,12:00am,-1,Bank Holiday,,,
2015-11-12,8:30am,3,Unemployment Claims,276K,270K,276K
2015-11-12,9:30am,3,Fed Chair Yellen Speaks,,,
2015-11-12,10:00am,2,JOLTS Job Openings,5.38M,5.39M,5.53M
2015-11-12,10:15am,2,FOMC Member Evans Speaks,,,
2015-11-12,11:00am,2,Crude Oil Inventories,2.8M,0.8M,4.2M
2015-11-12,12:15pm,2,FOMC Member Dudley Speaks,,,
2015-11-12,1:01pm,1,30-y Bond Auction,2.91|2.5,,3.07|2.4
2015-11-12,1:57pm,1,Federal Budget Balance,91.1B,-130.2B,-136.5B
2015-11-12,6:00pm,2,FOMC Member Fischer Speaks,,,
2015-11-13,8:30am,3,Core Retail Sales m/m,-0.40%,0.40%,0.20%
2015-11-13,8:30am,3,PPI m/m,-0.50%,0.20%,-0.40%
2015-11-13,8:30am,3,Retail Sales m/m,0.00%,0.30%,0.10%
2015-11-13,8:30am,2,Core PPI m/m,-0.30%,0.10%,-0.30%
2015-11-13,10:00am,3,Prelim UoM Consumer Sentiment,90,91.3,93.1
2015-11-13,10:00am,1,Business Inventories m/m,0.10%,0.10%,0.30%
2015-11-13,10:00am,1,Prelim UoM Inflation Expectations,2.70%,,2.50%
2015-11-13,10:30am,1,Natural Gas Storage,52B,51B,49B
2015-11-16,8:30am,2,Empire State Manufacturing Index,-11.4,-5.3,-10.7
2015-11-17,8:30am,3,Core CPI m/m,0.20%,0.20%,0.20%
2015-11-17,8:30am,3,CPI m/m,-0.20%,0.20%,0.20%
2015-11-17,8:30am,3,CPI y/y,0.00%,0.10%,0.20%
2015-11-17,9:15am,2,Capacity Utilization Rate,77.70%,77.50%,77.50%
2015-11-17,9:15am,2,Industrial Production m/m,-0.20%,0.10%,-0.20%
2015-11-17,10:00am,2,Mortgage Delinquencies,5.30%,,4.99%
2015-11-17,10:00am,1,NAHB Housing Market Index,65,64,62
2015-11-17,3:30pm,1,FOMC Member Tarullo Speaks,,,
2015-11-17,4:00pm,1,TIC Long-Term Purchases,20.8B,23.3B,33.6B
2015-11-18,8:00am,2,FOMC Member Dudley Speaks,,,
2015-11-18,8:30am,3,Building Permits,1.11M,1.15M,1.15M
2015-11-18,8:30am,2,Housing Starts,1.19M,1.16M,1.06M
2015-11-18,10:30am,2,Crude Oil Inventories,4.2M,2.0M,0.3M
2015-11-18,2:00pm,3,FOMC Meeting Minutes,,,
2015-11-19,8:30am,3,Philly Fed Manufacturing Index,-4.5,0.1,1.9
2015-11-19,8:30am,3,Unemployment Claims,276K,272K,271K
2015-11-19,10:00am,1,CB Leading Index m/m,-0.10%,0.50%,0.60%
2015-11-19,10:30am,1,Natural Gas Storage,49B,23B,15B
2015-11-19,12:30pm,2,FOMC Member Lockhart Speaks,,,
2015-11-19,4:45pm,2,FOMC Member Fischer Speaks,,,
2015-11-20,11:15am,2,FOMC Member Dudley Speaks,,,
2015-11-21,12:00pm,2,FOMC Member Williams Speaks,,,
2015-11-23,9:45am,1,Flash Manufacturing PMI,54.1,54,52.6
2015-11-23,10:00am,2,Existing Home Sales,5.55M,5.39M,5.36M
2015-11-24,8:30am,3,Prelim GDP q/q,1.50%,2.00%,2.10%
2015-11-24,8:30am,2,Goods Trade Balance,-59.1B,-61.8B,-58.4B
2015-11-24,8:30am,1,Prelim GDP Price Index q/q,1.20%,1.20%,1.30%
2015-11-24,9:00am,1,S&P/CS Composite-20 HPI y/y,5.10%,5.20%,5.50%
2015-11-24,9:59am,1,Richmond Manufacturing Index,-1,0,-3
2015-11-24,10:00am,3,CB Consumer Confidence,99.1,99.3,90.4
2015-11-25,8:30am,3,Core Durable Goods Orders m/m,-0.30%,0.50%,0.50%
2015-11-25,8:30am,3,Unemployment Claims,272K,273K,260K
2015-11-25,8:30am,2,Core PCE Price Index m/m,0.20%,0.10%,0.00%
2015-11-25,8:30am,2,Durable Goods Orders m/m,-0.80%,1.60%,3.00%
2015-11-25,8:30am,2,Personal Spending m/m,0.10%,0.30%,0.10%
2015-11-25,8:30am,1,Personal Income m/m,0.20%,0.40%,0.40%
2015-11-25,9:00am,1,HPI m/m,0.30%,0.50%,0.80%
2015-11-25,9:45am,1,Flash Services PMI,54.8,55.2,56.5
2015-11-25,10:00am,2,New Home Sales,447K,500K,495K
2015-11-25,10:00am,2,Revised UoM Consumer Sentiment,93.1,93.2,91.3
2015-11-25,10:00am,1,Revised UoM Inflation Expectations,2.50%,,2.70%
2015-11-25,10:30am,2,Crude Oil Inventories,0.3M,1.2M,1.0M
2015-11-25,12:00pm,1,Natural Gas Storage,15B,5B,9B
2015-11-26,12:00am,-1,Bank Holiday,,,
2015-11-30,9:45am,2,Chicago PMI,56.2,54.3,48.7
2015-11-30,10:00am,2,Pending Home Sales m/m,-1.60%,1.60%,0.20%
2015-12-01,9:45am,1,Final Manufacturing PMI,52.6,52.6,52.8
2015-12-01,10:00am,3,ISM Manufacturing PMI,50.1,50.6,48.6
2015-12-01,10:00am,1,Construction Spending m/m,0.60%,0.50%,1.00%
2015-12-01,10:00am,1,ISM Manufacturing Prices,39,40,35.5
2015-12-01,12:00am,1,Total Vehicle Sales,18.2M,18.0M,18.2M
2015-12-01,12:45pm,2,FOMC Member Evans Speaks,,,
2015-12-01,8:00pm,2,FOMC Member Brainard Speaks,,,
2015-12-02,8:10am,2,FOMC Member Lockhart Speaks,,,
2015-12-02,8:15am,3,ADP Non-Farm Employment Change,196K,191K,217K
2015-12-02,8:30am,2,Fed Chair Yellen Speaks,,,
2015-12-02,8:30am,2,Revised Nonfarm Productivity q/q,1.60%,2.20%,2.20%
2015-12-02,8:30am,1,Revised Unit Labor Costs q/q,1.40%,1.10%,1.80%
2015-12-02,9:00am,1,FOMC Member Tarullo Speaks,,,
2015-12-02,10:30am,2,Crude Oil Inventories,1.0M,-0.6M,1.2M
2015-12-02,12:25pm,3,Fed Chair Yellen Speaks,,,
2015-12-02,2:00pm,1,Beige Book,,,
2015-12-02,3:40pm,2,FOMC Member Williams Speaks,,,
2015-12-03,7:30am,1,Challenger Job Cuts y/y,-1.30%,,-13.90%
2015-12-03,8:30am,3,Unemployment Claims,260K,269K,269K
2015-12-03,9:45am,1,Final Services PMI,56.5,56.5,56.1
2015-12-03,10:00am,3,Fed Chair Yellen Testifies,,,
2015-12-03,10:00am,3,ISM Services PMI,59.1,58.1,55.9
2015-12-03,10:00am,2,Factory Orders m/m,-0.80%,1.20%,1.50%
2015-12-03,10:30am,1,Natural Gas Storage,9B,-22B,-53B
2015-12-03,1:10pm,2,FOMC Member Fischer Speaks,,,
2015-12-04,8:30am,3,Average Hourly Earnings m/m,0.40%,0.20%,0.20%
2015-12-04,8:30am,3,Non-Farm Employment Change,298K,201K,211K
2015-12-04,8:30am,3,Unemployment Rate,5.00%,5.00%,5.00%
2015-12-04,8:30am,2,Trade Balance,-42.5B,-40.6B,-43.9B
2015-12-07,10:00am,1,Labor Market Conditions Index m/m,2.2,,0.5
2015-12-07,3:00pm,1,Consumer Credit m/m,28.6B,18.3B,16.0B
2015-12-08,6:00am,1,NFIB Small Business Index,96.1,96.6,94.8
2015-12-08,10:00am,1,RCM/TIPP Economic Optimism,45.5,45.2,47.2
2015-12-08,10:02am,2,JOLTS Job Openings,5.53M,5.59M,5.38M
2015-12-09,10:00am,1,Final Wholesale Inventories m/m,0.20%,0.20%,-0.10%
2015-12-09,10:30am,2,Crude Oil Inventories,1.2M,0.7M,-3.6M
2015-12-09,1:01pm,1,10-y Bond Auction,2.30|2.6,,2.23|2.6
2015-12-10,8:30am,3,Unemployment Claims,269K,266K,282K
2015-12-10,8:30am,2,Import Prices m/m,-0.30%,-0.80%,-0.40%
2015-12-10,10:30am,1,Natural Gas Storage,-53B,-64B,-76B
2015-12-10,1:01pm,1,30-y Bond Auction,3.07|2.4,,2.98|2.4
2015-12-10,2:00pm,1,Federal Budget Balance,-136.5B,-68.2B,-64.6B
2015-12-11,8:30am,3,Core Retail Sales m/m,0.10%,0.30%,0.40%
2015-12-11,8:30am,3,PPI m/m,-0.40%,0.00%,0.30%
2015-12-11,8:30am,3,Retail Sales m/m,0.10%,0.20%,0.20%
2015-12-11,8:30am,2,Core PPI m/m,-0.30%,0.20%,0.30%
2015-12-11,10:00am,3,Prelim UoM Consumer Sentiment,91.3,92.3,91.8
2015-12-11,10:00am,1,Business Inventories m/m,0.10%,0.10%,0.00%
2015-12-11,10:00am,1,Prelim UoM Inflation Expectations,2.70%,,2.60%
2015-12-15,8:30am,3,Core CPI m/m,0.20%,0.20%,0.20%
2015-12-15,8:30am,3,CPI m/m,0.20%,0.00%,0.00%
2015-12-15,8:30am,3,CPI y/y,0.20%,0.50%,0.50%
2015-12-15,8:30am,2,Empire State Manufacturing Index,-10.7,-5.7,-4.6
2015-12-15,10:00am,1,NAHB Housing Market Index,62,63,61
2015-12-15,4:00pm,1,TIC Long-Term Purchases,33.6B,32.4B,-16.6B
2015-12-16,8:30am,3,Building Permits,1.16M,1.16M,1.29M
2015-12-16,8:30am,2,Housing Starts,1.06M,1.14M,1.17M
2015-12-16,9:15am,2,Capacity Utilization Rate,77.50%,77.30%,77.00%
2015-12-16,9:15am,2,Industrial Production m/m,-0.40%,0.00%,-0.60%
2015-12-16,9:45am,1,Flash Manufacturing PMI,52.8,52.7,51.3
2015-12-16,10:30am,2,Crude Oil Inventories,-3.6M,-0.3M,4.8M
2015-12-16,2:00pm,3,Federal Funds Rate,<0.25%,0.50%,0.50%
2015-12-16,2:00pm,3,FOMC Economic Projections,,,
2015-12-16,2:00pm,3,FOMC Statement,,,
2015-12-16,2:30pm,3,FOMC Press Conference,,,
2015-12-17,8:30am,3,Philly Fed Manufacturing Index,1.9,2.1,-5.9
2015-12-17,8:30am,3,Unemployment Claims,282K,271K,271K
2015-12-17,8:30am,2,Current Account,-111B,-123B,-124B
2015-12-17,10:00am,1,CB Leading Index m/m,0.60%,0.20%,0.40%
2015-12-17,10:30am,1,Natural Gas Storage,-76B,-58B,-34B
2015-12-18,9:45am,1,Flash Services PMI,56.1,55.9,53.7
2015-12-18,1:00pm,2,FOMC Member Lacker Speaks,,,
2015-12-22,8:30am,3,Final GDP q/q,2.10%,1.90%,2.00%
2015-12-22,8:30am,1,Final GDP Price Index q/q,1.30%,1.30%,1.30%
2015-12-22,9:00am,1,HPI m/m,0.70%,0.40%,0.50%
2015-12-22,10:00am,2,Existing Home Sales,5.32M,5.32M,4.76M
2015-12-22,10:00am,1,Richmond Manufacturing Index,-3,-1,6
2015-12-22,7:50pm,2,Personal Spending m/m,0.00%,0.30%,0.30%
2015-12-23,8:30am,3,Core Durable Goods Orders m/m,0.60%,0.10%,-0.10%
2015-12-23,8:30am,2,Core PCE Price Index m/m,0.00%,0.10%,0.10%
2015-12-23,8:30am,2,Durable Goods Orders m/m,2.90%,-0.60%,0.00%
2015-12-23,8:30am,1,Personal Income m/m,0.40%,0.20%,0.30%
2015-12-23,10:00am,2,New Home Sales,470K,507K,490K
2015-12-23,10:00am,2,Revised UoM Consumer Sentiment,91.8,92.1,92.6
2015-12-23,10:00am,1,Revised UoM Inflation Expectations,2.60%,,2.60%
2015-12-23,10:30am,2,Crude Oil Inventories,4.8M,1.4M,-5.9M
2015-12-24,8:30am,3,Unemployment Claims,272K,270K,267K
2015-12-24,10:30am,1,Natural Gas Storage,-34B,-26B,-32B
2015-12-25,12:00am,-1,Bank Holiday,,,
2015-12-29,8:30am,2,Goods Trade Balance,-58.4B,-60.9B,-60.5B
2015-12-29,9:00am,1,S&P/CS Composite-20 HPI y/y,5.40%,5.60%,5.50%
2015-12-29,10:00am,3,CB Consumer Confidence,92.6,93.9,96.5
2015-12-30,10:00am,2,Pending Home Sales m/m,0.40%,0.60%,-0.90%
2015-12-30,10:30am,2,Crude Oil Inventories,-5.9M,-1.8M,2.6M
2015-12-31,8:30am,3,Unemployment Claims,267K,274K,287K
2015-12-31,9:45am,2,Chicago PMI,48.7,50.4,42.9
2015-12-31,10:30am,1,Natural Gas Storage,-32B,-54B,-58B
2016-01-01,12:00am,-1,Bank Holiday,,,
2016-01-03,1:15pm,2,FOMC Member Fischer Speaks,,,
2016-01-03,5:30pm,2,FOMC Member Mester Speaks,,,
2016-01-04,9:45am,1,Final Manufacturing PMI,51.3,51.1,51.2
2016-01-04,10:00am,3,ISM Manufacturing PMI,48.6,49.1,48.2
2016-01-04,10:00am,1,Construction Spending m/m,0.30%,0.70%,-0.40%
2016-01-04,10:00am,1,ISM Manufacturing Prices,35.5,36.5,33.5
2016-01-05,12:00am,1,Wards Total Vehicle Sales,18.0M,18.0M,17.2M
2016-01-05,12:00am,1,Total Vehicle Sales,18.2M,18.1M,17.3M
2016-01-06,8:15am,3,ADP Non-Farm Employment Change,211K,193K,257K
2016-01-06,8:30am,3,Trade Balance,-44.6B,-44.0B,-42.4B
2016-01-06,9:45am,1,Final Services PMI,53.7,55.1,54.3
2016-01-06,10:00am,3,ISM Services PMI,55.9,56,55.3
2016-01-06,10:00am,2,Factory Orders m/m,1.30%,-0.20%,-0.20%
2016-01-06,10:30am,2,Crude Oil Inventories,2.6M,0.7M,-5.1M
2016-01-06,2:00pm,3,FOMC Meeting Minutes,,,
2016-01-07,7:30am,1,Challenger Job Cuts y/y,-13.90%,,-27.60%
2016-01-07,8:30am,3,Unemployment Claims,287K,271K,277K
2016-01-07,10:30am,1,Natural Gas Storage,-58B,-95B,-113B
2016-01-08,8:30am,3,Average Hourly Earnings m/m,0.20%,0.20%,0.00%
2016-01-08,8:30am,3,Non-Farm Employment Change,252K,203K,292K
2016-01-08,8:30am,3,Unemployment Rate,5.00%,5.00%,5.00%
2016-01-08,10:00am,1,Final Wholesale Inventories m/m,-0.30%,0.00%,-0.30%
2016-01-08,3:00pm,1,Consumer Credit m/m,15.6B,18.7B,14.0B
2016-01-11,9:59am,1,Labor Market Conditions Index m/m,2.7,,2.9
2016-01-12,5:30am,2,FOMC Member Fischer Speaks,,,
2016-01-12,6:00am,1,NFIB Small Business Index,94.8,95.4,95.2
2016-01-12,10:00am,2,JOLTS Job Openings,5.35M,5.41M,5.43M
2016-01-12,10:00am,1,RCM/TIPP Economic Optimism,47.2,47.6,47.3
2016-01-12,9:00pm,1,President Obama Speaks,,,
2016-01-13,10:30am,3,Crude Oil Inventories,-5.1M,1.9M,0.2M
2016-01-13,1:03pm,1,10-y Bond Auction,2.23|2.6,,2.09|2.8
2016-01-13,2:00pm,1,Beige Book,,,
2016-01-13,2:00pm,1,Federal Budget Balance,-64.6B,-2.7B,-14.4B
2016-01-14,8:30am,3,Unemployment Claims,277K,275K,284K
2016-01-14,8:30am,2,Import Prices m/m,-0.50%,-1.40%,-1.20%
2016-01-14,9:15am,2,FOMC Member Bullard Speaks,,,
2016-01-14,10:30am,1,Natural Gas Storage,-113B,-152B,-168B
2016-01-14,1:01pm,1,30-y Bond Auction,2.98|2.4,,2.91|2.3
2016-01-15,8:30am,3,Core Retail Sales m/m,0.30%,0.20%,-0.10%
2016-01-15,8:30am,3,PPI m/m,0.30%,-0.20%,-0.20%
2016-01-15,8:30am,3,Retail Sales m/m,0.40%,-0.10%,-0.10%
2016-01-15,8:30am,2,Core PPI m/m,0.30%,0.10%,0.10%
2016-01-15,8:30am,2,Empire State Manufacturing Index,-4.6,-4.1,-19.4
2016-01-15,9:00am,2,FOMC Member Dudley Speaks,,,
2016-01-15,9:15am,2,Capacity Utilization Rate,76.90%,76.80%,76.50%
2016-01-15,9:15am,2,Industrial Production m/m,-0.90%,-0.20%,-0.40%
2016-01-15,10:00am,3,Prelim UoM Consumer Sentiment,92.6,92.7,93.3
2016-01-15,10:00am,1,Business Inventories m/m,-0.10%,0.00%,-0.20%
2016-01-15,10:00am,1,Prelim UoM Inflation Expectations,2.60%,,2.40%
2016-01-18,12:00am,-1,Bank Holiday,,,
2016-01-19,10:00am,1,NAHB Housing Market Index,60,61,60
2016-01-19,4:00pm,1,TIC Long-Term Purchases,-17.7B,24.3B,31.4B
2016-01-20,8:30am,3,Building Permits,1.28M,1.20M,1.23M
2016-01-20,8:30am,3,Core CPI m/m,0.20%,0.20%,0.10%
2016-01-20,8:30am,3,CPI m/m,0.00%,0.00%,-0.10%
2016-01-20,8:30am,3,CPI y/y,0.50%,0.80%,0.70%
2016-01-20,8:30am,2,Housing Starts,1.18M,1.19M,1.15M
2016-01-21,8:30am,3,Philly Fed Manufacturing Index,-5.9,-5.8,-3.5
2016-01-21,8:30am,3,Unemployment Claims,283K,279K,293K
2016-01-21,10:30am,1,Natural Gas Storage,-168B,-180B,-178B
2016-01-21,11:00am,3,Crude Oil Inventories,0.2M,3.3M,4.0M
2016-01-22,9:45am,1,Flash Manufacturing PMI,51.2,51.5,52.7
2016-01-22,10:00am,2,Existing Home Sales,4.76M,5.21M,5.46M
2016-01-22,10:00am,1,CB Leading Index m/m,0.50%,-0.10%,-0.20%
2016-01-26,9:00am,1,HPI m/m,0.50%,0.40%,0.50%
2016-01-26,9:00am,1,S&P/CS Composite-20 HPI y/y,5.50%,5.70%,5.80%
2016-01-26,9:45am,1,Flash Services PMI,54.3,53.9,53.7
2016-01-26,10:00am,3,CB Consumer Confidence,96.3,96.6,98.1
2016-01-26,10:00am,1,Richmond Manufacturing Index,6,3,2
2016-01-27,10:00am,2,New Home Sales,491K,501K,544K
2016-01-27,10:30am,3,Crude Oil Inventories,4.0M,3.8M,8.4M
2016-01-27,2:00pm,3,Federal Funds Rate,0.50%,0.50%,0.50%
2016-01-27,2:00pm,3,FOMC Statement,,,
2016-01-28,8:30am,3,Core Durable Goods Orders m/m,0.00%,-0.10%,-1.20%
2016-01-28,8:30am,3,Unemployment Claims,294K,281K,278K
2016-01-28,8:30am,2,Durable Goods Orders m/m,-0.50%,-0.60%,-5.10%
2016-01-28,10:00am,2,Pending Home Sales m/m,-1.10%,1.00%,0.10%
2016-01-28,10:30am,1,Natural Gas Storage,-178B,-215B,-211B
2016-01-29,8:30am,3,Advance GDP q/q,2.00%,0.80%,0.70%
2016-01-29,8:30am,2,Advance GDP Price Index q/q,1.30%,1.20%,0.80%
2016-01-29,8:30am,2,Employment Cost Index q/q,0.60%,0.60%,0.60%
2016-01-29,8:30am,2,Goods Trade Balance,-60.3B,-60.0B,-61.5B
2016-01-29,9:45am,2,Chicago PMI,42.9,45.4,55.6
2016-01-29,10:00am,2,Revised UoM Consumer Sentiment,93.3,93.1,92
2016-01-29,10:00am,1,Revised UoM Inflation Expectations,2.40%,,2.50%
2016-02-01,8:30am,2,Core PCE Price Index m/m,0.20%,0.10%,0.00%
2016-02-01,8:30am,2,Personal Spending m/m,0.50%,0.10%,0.00%
2016-02-01,8:30am,1,Personal Income m/m,0.30%,0.20%,0.30%
2016-02-01,9:45am,1,Final Manufacturing PMI,52.7,52.7,52.4
2016-02-01,10:00am,3,ISM Manufacturing PMI,48.2,48.6,48.2
2016-02-01,10:00am,1,Construction Spending m/m,-0.60%,0.60%,0.10%
2016-02-01,10:00am,1,ISM Manufacturing Prices,33.5,34.7,33.5
2016-02-01,1:00pm,2,FOMC Member Fischer Speaks,,,
2016-02-01,2:00pm,1,Loan Officer Survey,,,
2016-02-02,10:00am,1,RCM/TIPP Economic Optimism,47.3,47.8,47.8
2016-02-02,10:15am,1,Wards Total Vehicle Sales,17.2M,17.3M,17.5M
2016-02-02,12:00am,1,Total Vehicle Sales,17.3M,17.4M,17.6M
2016-02-02,1:00pm,2,FOMC Member George Speaks,,,
2016-02-03,8:15am,3,ADP Non-Farm Employment Change,267K,193K,205K
2016-02-03,9:45am,1,Final Services PMI,53.7,53.7,53.2
2016-02-03,10:00am,3,ISM Services PMI,55.3,55.1,53.5
2016-02-03,10:30am,3,Crude Oil Inventories,8.4M,3.7M,7.8M
2016-02-04,2:15am,2,FOMC Member Rosengren Speaks,,,
2016-02-04,7:30am,1,Challenger Job Cuts y/y,-27.60%,,41.60%
2016-02-04,8:30am,3,Unemployment Claims,277K,279K,285K
2016-02-04,8:30am,2,Prelim Nonfarm Productivity q/q,2.20%,-1.50%,-3.00%
2016-02-04,8:30am,2,Prelim Unit Labor Costs q/q,1.80%,3.90%,4.50%
2016-02-04,10:00am,2,Factory Orders m/m,-0.70%,-2.50%,-2.90%
2016-02-04,10:30am,1,Natural Gas Storage,-211B,-170B,-152B
2016-02-04,5:00pm,2,FOMC Member Mester Speaks,,,
2016-02-05,8:30am,3,Average Hourly Earnings m/m,0.00%,0.30%,0.50%
2016-02-05,8:30am,3,Non-Farm Employment Change,262K,189K,151K
2016-02-05,8:30am,3,Unemployment Rate,5.00%,5.00%,4.90%
2016-02-05,8:30am,2,Trade Balance,-42.2B,-42.9B,-43.4B
2016-02-05,12:30pm,1,President Obama Speaks,,,
2016-02-05,3:00pm,1,Consumer Credit m/m,14.0B,16.1B,21.3B
2016-02-08,10:00am,1,Labor Market Conditions Index m/m,2.3,,0.4
2016-02-09,6:00am,1,NFIB Small Business Index,95.2,94.6,93.9
2016-02-09,10:00am,2,JOLTS Job Openings,5.35M,5.41M,5.61M
2016-02-09,10:00am,1,Final Wholesale Inventories m/m,-0.40%,-0.10%,-0.10%
2016-02-10,10:00am,3,Fed Chair Yellen Testifies,,,
2016-02-10,10:30am,3,Crude Oil Inventories,7.8M,3.1M,-0.8M
2016-02-10,1:01pm,1,10-y Bond Auction,2.09|2.8,,1.73|2.6
2016-02-10,2:00pm,1,Federal Budget Balance,-14.4B,10.3B,55.2B
2016-02-11,8:30am,3,Unemployment Claims,285K,287K,269K
2016-02-11,10:00am,3,Fed Chair Yellen Testifies,,,
2016-02-11,10:00am,1,Fed Monetary Policy Report,,,
2016-02-11,10:30am,1,Natural Gas Storage,-152B,-82B,-70B
2016-02-11,1:01pm,1,30-y Bond Auction,2.91|2.3,,2.50|2.1
2016-02-12,8:30am,3,Core Retail Sales m/m,0.10%,0.00%,0.10%
2016-02-12,8:30am,3,Retail Sales m/m,0.20%,0.10%,0.20%
2016-02-12,8:30am,2,Import Prices m/m,-1.10%,-1.40%,-1.10%
2016-02-12,10:00am,3,Prelim UoM Consumer Sentiment,92,92.6,90.7
2016-02-12,10:00am,2,FOMC Member Dudley Speaks,,,
2016-02-12,10:00am,1,Business Inventories m/m,-0.10%,0.10%,0.10%
